Content Change Frequency,Database,Expected Initial Budget,Expected Maintenence Staff,Expected Monthly Maintenance Budget,Max Concurrent Traffic - Calculation,Max Concurrent Traffic - Estimation,Max Concurrent Traffic - Estimation Confidence,Max Traffic - Calculation,Max Traffic - Estimation,Max Traffic - Estimation Confidence,Max User Base - Calculation,Max User Base - Estimation,Max User Base - Estimation Confidence,Minimum Browser,Mobile Support,Number of Videos,Programming Language,Server Operating System,Type of Video Required,Web Server
3,Any,"$3,000 ",1,$0 ,7,2,0.01,99,1,0.01,"9,802","1,000",0.01,IE9;Firefox;Chrome,Mobile Viewable,0,Any,Any,None,Any
200,Microsoft SQL Server,"$250,000 ",2,"$2,000 ",15,10,0.5,"1,461","1,000",0.95,"14,957","10,000",0.95,IE8;Firefox,Mobile Optimized,0,Any,Windows,None,IIS 7.5
50,MySQL,"$200,000 ",3,"$3,500 ",7,2,0.01,193,5,0.1,"163,746","20,000",0.1,Chrome,None,20,Any,Linux,Static,Apache
10,Any,"$150,000 ",5,"$4,000 ",112,100,0.05,"14,781","5,000",0.25,"1,239,742","750,000",0.9,Safari;Chrome,Mobile Viewable,100,Any,Any,Streaming,Any
5,Oracle SQL Server,"$500,000 ",10,"$6,000 ",15,10,0.5,759,500,0.85,"913,418","500,000",0.85,IE9;Chrome;Firefox;Safari,Mobile Viewable,0,C#,Windows,None,IIS 7
150,MySQL,"$50,000 ",2,"$7,000 ",16,15,0.99,"360,825","250,000",0.99,"138,069","100,000",0.99,IE9;Firefox,Mobile Optimized,500,C#,Windows,Streaming,IIS 7.5
50,Any,"$75,000 ",2,"$3,000 ",12,5,0.01,519,100,0.01,"980,199","100,000",0.01,Chrome,None,0,Java,Any,None,Any
200,Any,"$200,000 ",1,4500,6,2,0.25,"4,978",2500,0.5,"275,910",75000,0.5,Chrome;Firefox,Mobile Viewable,10,Java,Linux,Streaming,Tomcat
500,CouchDB,"$30,000 ",1,"$2,500 ",6,3,0.5,"1,487","1,000",0.9,"149,569","100,000",0.95,Safari,Mobile Optimized,100,PHP,Linux,Static,Apache
25,Any,"$10,000 ",0,$750 ,6,2,0.1,140,10,0.1,"6,065","1,000",0.25,Firefox,Mobile Viewable,50,PHP,Any,Static,Any
50,Any,"$3,000 ",1,$0 ,7,2,0.01,99,1,0.01,"9,802","1,000",0.01,IE9;Firefox;Chrome,Mobile Viewable,0,Any,Any,None,Any
200,Microsoft SQL Server,"$250,000 ",2,"$5,000 ",15,10,0.5,"1,461","1,000",0.95,"14,957","10,000",0.95,IE8;Firefox,Mobile Optimized,0,Any,Windows,None,IIS 7.5
50,MySQL,"$200,000 ",3,"$3,500 ",7,2,0.01,193,5,0.1,"163,746","20,000",0.1,Chrome,None,50,Any,Linux,Static,Apache
10,Any,"$150,000 ",5,"$4,000 ",112,100,0.05,"14,781","5,000",0.25,"991,793","600,000",0.9,Safari;Chrome,Mobile Viewable,100,Any,Any,Streaming,Any
5,Oracle SQL Server,"$500,000 ",10,"$6,000 ",15,10,0.5,759,500,0.85,"913,418","500,000",0.85,IE9;Chrome;Firefox;Safari,Mobile Viewable,0,Visual Basic,Windows,None,IIS 7
150,MySQL,"$50,000 ",2,"$2,000 ",16,15,0.99,"360,825","250,000",0.99,"138,069","100,000",0.99,IE9;Firefox,Mobile Optimized,500,C#,Windows,Streaming,IIS 7.5
50,Any,"$75,000 ",2,"$3,000 ",19,10,0.01,519,100,0.01,"980,199","100,000",0.01,Chrome,None,0,Java,Any,None,Any
200,Any,"$200,000 ",1,4500,6,2,0.25,"4,978","2,500",0.5,"275,910",75000,0.5,Chrome;Firefox;Safari,Mobile Viewable,10,Java,Linux,Streaming,Tomcat
500,CouchDB,"$30,000 ",1,"$2,500 ",6,3,0.5,"4,460","3,000",0.9,"149,569","100,000",0.95,Safari,Mobile Optimized,100,PHP,nux,Static,Apache
25,Any,"$5,000 ",0,$750 ,6,2,0.1,140,10,0.1,"6,065","1,000",0.25,Firefox,Mobile Viewable,50,PHP,Any,Static,Any
